Nome,Data,Hora,Endereço,Link
"BLOQUINHO",04/02/2024,08:30,"RUA MONSENHOR HORTA, 50, Calafate","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloquinho"
"BOI ENCANTADO DAS MINAS E DAS GERAIS",04/02/2024,09:00,"RUA DA BAHIA, 1212, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/boi-encantado-das-minas-e-das-gerais"
"BLOCO DAS DESLUMBRADAS",04/02/2024,09:00,"AVENIDA OTACILIO NEGRAO DE LIMA, 4220, Bandeirantes","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-das-deslumbradas"
"BLOCO BURITIS DE GUIMARÃES ROSA",04/02/2024,09:00,"RUA JUVENAL MELO SENRA, 409, Belvedere","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-buritis-de-guimaraes-rosa-15872"
"AS CHARANGUEIRAS",04/02/2024,09:00,"RUA PARAIBA, 1360, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/as-charangueiras"
"BLOCO DO CHIFRUDO",04/02/2024,09:00,"RUA SAPUCAI, 320, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-chifrudo"
"BLOCO BESOURINHOS",04/02/2024,09:30,"RUA DONA MARIA IGNEZ, 30, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-besourinhos"
"BLOQUINHO DA AMOREIRA",04/02/2024,09:30,"RUA MONTES CLAROS, 1028, Anchieta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloquinho-da-amoreira"
"ME BEIJA QUE EU SOU PAGODEIRO",04/02/2024,10:00,"RUA TENENTE BRITO MELO, 1065, Barro Preto","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/me-beija-que-eu-sou-pagodeiro-16246"
"BLOCO AS PANDERISTA",04/02/2024,10:00,"RUA DAVID CAMPISTA, 42, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-as-panderista"
"AFRONTA BH",04/02/2024,10:00,"PRACA DA LIBERDADE, 770, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/afronta-bh"
"O BLOCO DAS MIMOSAS BORBOLETAS",04/02/2024,10:00,"RUA BAMBUI, 1204, Anchieta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/o-bloco-das-mimosas-borboletas"
"BLOCO ASA DE BANANA",04/02/2024,10:00,"AVENIDA BRASIL, 1126, Funcionários","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-asa-de-banana"
"BLOCO DO PÃO MOLHADO",04/02/2024,10:30,"RUA VALENCA, 145, Carlos Prates","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-pao-molhado"
"CAVALO MARINHO DE BEAGÁ",04/02/2024,10:30,"RUA MARMORE, 170, Santa Tereza","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/cavalo-marinho-de-beaga"
"FOLIA DO CARDOSINHO 2024",04/02/2024,11:00,"AVENIDA DOS BANDEIRANTES, 291, Sion","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/folia-do-cardosinho-2024"
"MORABLOCO",04/02/2024,11:00,"AVENIDA FLEMING, 680, Ouro Preto","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/morabloco-16314"
"UNIDOS COM MIRAGO",04/02/2024,12:00,"RUA JORGE CARONE, 2, Nova Cintra","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/unidos-com-mirago-16278"
"ALEGRIA ALEGRIA",04/02/2024,12:00,"AVENIDA AFONSO PENA, 4417, Serra","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/alegria-alegria-16194"
"BLOCO CHAMA QUE VEM",04/02/2024,12:00,"AVENIDA WASHINGTON LUIZ, 9, São Bernardo","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-chama-que-vem"
"BLOCO DO MINAS",04/02/2024,12:00,"AVENIDA DOS BANDEIRANTES, 2525, Serra","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-minas"
"ADAYEBA",04/02/2024,12:00,"RODOVIA CAMILO TEIXEIRA DA COSTA, 1350, Granja Werneck","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/adayeba"
"BLOKO MIAME BEAT",04/02/2024,12:00,"RUA CONTAGEM, 727, Santa Inês","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloko-miame-beat-16097"
"BLOCO ALMAS EMPENADAS",04/02/2024,12:00,"RUA MOURA COSTA, 41, Planalto","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-almas-empenadas"
"ENCHE MEU COPO",04/02/2024,13:00,"RUA CRAVINAS, 810, Esplanada","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/enche-meu-copo-16020"
"VELHA GUARDA DO SAMBA DE BH",04/02/2024,13:00,"AVENIDA SANTOS DUMONT, 174, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/velha-guarda-do-samba-de-bh"
"GRANADAS DE ALEGRIA",04/02/2024,13:00,"AVENIDA SILVA LOBO, 1338, Nova Granada","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/granadas-de-alegria"
"BLOCO CARNAVALESCO AS VIRGENS DO FORMIGUEIRO QUENTE",04/02/2024,13:00,"RUA IZALINA FAUSTINA SILVEIRA, 18, Mantiqueira","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-carnavalesco-as-virgens-do-formigueiro-quente"
"PALKO ABERTO SANTÊ",04/02/2024,13:00,"RUA VIOLETA, 219, Esplanada","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/palko-aberto-sante"
"QUI SAMBA É ESSE?",04/02/2024,13:30,"AVENIDA CLARA NUNES, 92, Renascença","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/qui-samba-e-esse"
"OS BATERAS",04/02/2024,14:00,"AVENIDA SARAMENHA, 1470, Guarani","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/os-bateras"
"BLOCO DOS HERMANOS",04/02/2024,14:00,"RUA SAPUCAI, 499, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-dos-hermanos"
"AXE DE LÁ 90",04/02/2024,14:00,"AVENIDA GUARAPARI, 1241, Santa Amélia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/axe-de-la-90-15891"
"BLOCO CET",04/02/2024,14:00,"RUA ANTAO GONCALVES, 390, Taquaril","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-cet-16170"
"BAIANOS USADOS",04/02/2024,14:00,"RUA GERALDO MARTINS DA SILVA, 25, Jaqueline","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/baianos-usados"
"TREM DU BÃO",04/02/2024,14:00,"AVENIDA DOM JOSE GASPAR, 615, Coração Eucarístico","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/trem-du-bao"
"FURDUNÇIN DO MEU REI",04/02/2024,14:00,"RUA LEVINDO LOPES, 191, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/furduncin-do-meu-rei"
"BANDO DO SANTO CHICO",04/02/2024,14:00,"RUA PORTO ALEGRE, 523, São Francisco das Chagas","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bando-do-santo-chico"
"RELEMBRANDO O CORSO DO CARNAVAL DOS ANOS 50",04/02/2024,14:00,"RUA MARILIA DE DIRCEU, 109, Lourdes","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/relembrando-o-corso-do-carnaval-dos-anos-50"
"PAPAUÊ",04/02/2024,14:00,"AVENIDA SINFRONIO BROCHADO, 1237, Barreiro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/papaue-15688"
"TURMA DA LÍNGUA SOLTA",04/02/2024,14:00,"RUA ITAGUAI, 478, Caiçaras","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/turma-da-lingua-solta"
"BLOCO SAGRADA FOLIA",04/02/2024,14:30,"RUA PITANGUI, 3197, Sagrada Família","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-sagrada-folia"
"BLOCO SWING SAFADO",04/02/2024,16:00,"RUA GENTIOS, 122, Conjunto Santa Maria","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-swing-safado-16230"
"BLOCO DO FERA",04/02/2024,16:00,"RUA PROFESSOR AMARO XISTO DE QUEIROZ, 80, União","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-fera"
"CARNASOUL",04/02/2024,17:00,"RUA RIO DE JANEIRO, 667, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/carnasoul"
"SAI PRA LÁ, CAPETA",06/02/2024,17:00,"PRACA COMENDADOR NEGRAO DE LIMA, 244, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/sai-pra-la-capeta"
"CHAMA O SÍNDICO",07/02/2024,18:00,"AVENIDA AFONSO PENA, 1377, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/chama-o-sindico"
"BLOCO VIADUTO TRANCE",08/02/2024,17:00,"RUA DA BAHIA, 55, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-viaduto-trance-16011"
"CIDADE NOVA PIRÕ-LEERITA",08/02/2024,18:00,"PRACA GUIMARAES ROSA, 39, Cidade Nova","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/cidade-nova-piro-leerita"
"ARRASTÃO DO HOTT",08/02/2024,18:00,"AVENIDA ANTONIO ABRAHAO CARAM, 972, São José","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/arrastao-do-hott"
"BLOCO DA BICICLETINHA",08/02/2024,20:00,"PRACA DA BANDEIRA, 122, Serra","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-da-bicicletinha"
"BLOCO DO DIDI",09/02/2024,13:00,"AVENIDA SIDERAL, 280, Vista Alegre","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-didi"
"BLOCO ÁLIBE",09/02/2024,15:30,"PRACA CRISTO REDENTOR, 122, Milionários","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-alibe"
"BLOCO INTERVALO",09/02/2024,17:00,"RUA DAVID CAMPISTA, 42, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-intervalo"
"PASSA LÁ NO RH E ME CHAMA QUE EU VOU",09/02/2024,17:00,"AVENIDA CRISTOVAO COLOMBO, 358, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/passa-la-no-rh-e-me-chama-que-eu-vou"
"OS MENINOS DA MEIA-NOITE",09/02/2024,17:00,"PRACA SANTA RITA, 131, Esplanada","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/os-meninos-da-meia-noite-15580"
"BLOCO VIADUTO TRANCE",09/02/2024,17:00,"RUA DA BAHIA, 55, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-viaduto-trance-16012"
"SEXTA, NINGUÉM SABE?",09/02/2024,17:00,"RUA ALVARENGA PEIXOTO, 1030, Santo Agostinho","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/sexta-ninguem-sabe"
"BLOCO DA SOL",09/02/2024,18:00,"RUA VINTE E CINCO DE AGOSTO, 270, Aparecida","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-da-sol"
"LINDO BLOCO DO AMOR",09/02/2024,18:00,"RUA SAPUCAI, 105, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/lindo-bloco-do-amor"
"PIPINO FOLIA",09/02/2024,18:00,"RUA HENRIQUE BADARO PORTUGAL, 143, Buritis","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/pipino-folia"
"WS ELETRICO",09/02/2024,18:30,"RUA SERGIPE, 811, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/ws-eletrico"
"DIABAS DE LUNETA",09/02/2024,19:00,"RUA MATO GROSSO, 307, Barro Preto","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/diabas-de-luneta"
"DUBAI DAS INDUSTRIAS",09/02/2024,19:00,"RUA JUIZ ELYZEU JARDIM, 177, Bairro das Indústrias I","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/dubai-das-industrias-16404"
"RODA DE TIMBAU",09/02/2024,19:00,"AVENIDA ALVARES CABRAL, 374, Lourdes","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/roda-de-timbau"
"BLOCO AFRO-PERIFÉRICO ORISAMBA",09/02/2024,19:00,"RUA FAGUNDES VARELA, 99, Senhor dos Passos","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-afro-periferico-orisamba-15878"
"ESPETO NA VEIA, OS CAMISA VELHA",09/02/2024,20:00,"RUA RIO GRANDE DO SUL, 1229, Santo Agostinho","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/espeto-na-veia-os-camisa-velha"
"BAIÃO DE RUA",09/02/2024,22:00,"AVENIDA ASSIS CHATEAUBRIAND, 457, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/baiao-de-rua"
"TIRA O QUEIJO",09/02/2024,23:00,"RUA AARAO REIS, 422, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/tira-o-queijo"
"BLOCO FÚNEBRE",09/02/2024,23:00,"PRACA DA BANDEIRA, 122, Serra","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-funebre"
"ENTÃO, BRILHA!",10/02/2024,05:00,"RUA CURITIBA, 8, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/entao-brilha"
"BANHO DE XÊRO",10/02/2024,08:00,"AVENIDA GUARAPARI, 42, Santa Amélia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/banho-de-xero"
"LADEIRA ABAIXO",10/02/2024,08:00,"PRACA ZAMENHOF, 11, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/ladeira-abaixo"
"BLOCO DO SUSTENIDO",10/02/2024,09:00,"RUA DOS TOPOGRAFOS, 207, Alípio de Melo","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-sustenido"
"QUANDO COME SE LAMBUZA",10/02/2024,09:00,"AVENIDA AFONSO PENA, 546, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/quando-come-se-lambuza"
"OS BATERINHAS",10/02/2024,09:00,"AVENIDA SARAMENHA, 1470, Guarani","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/os-baterinhas"
"AFOXÉ OGUN DE",10/02/2024,09:30,"RUA ALOISIO ARAGAO VILLAR, 310, Trevo","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/afoxe-ogun-de"
"BLOCO DO PAMP",10/02/2024,09:30,"PRACA CARLOS CHAGAS, 35, Santo Agostinho","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-pamp"
"VAI TOMAR NO RETRÔ",10/02/2024,10:00,"PRACA CAPELA NOVA, 134, Minas Brasil","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/vai-tomar-no-retro"
"BLOCO LIBERDADE E ÁGUA LIMPA",10/02/2024,10:00,"RUA FRANCISCA LEAO CORREA, 145, União","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-liberdade-e-agua-limpa-16254"
"MICARETEIROS",10/02/2024,10:00,"AVENIDA GETULIO VARGAS, 792, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/micareteiros-15650"
"KOLA EM MIM QUE CÊ BRILHA",10/02/2024,10:00,"RUA OESTE, 510, Calafate","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/kola-em-mim-que-ce-brilha"
"JOVENS DAS ANTIGA",10/02/2024,10:00,"RUA PAULO NUNES VIEIRA, 166, Cidade Nova","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/jovens-das-antiga"
"PATA DE LEÃO",10/02/2024,10:00,"PRACA MEXICO, 202, Concórdia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/pata-de-leao"
"BLOCO DIVINA BANDA",10/02/2024,10:30,"RUA MARMORE, 179, Santa Tereza","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-divina-banda"
"TÁ PENSANDO O QUE?",10/02/2024,11:00,"RUA CURITIBA, 2457, Lourdes","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/ta-pensando-o-que"
"BLOCO DO PIRULITO",10/02/2024,12:00,"RUA ESPIRITO SANTO, 516, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-pirulito"
"SEU VIZINHO",10/02/2024,12:00,"AVENIDA MEM DE SA, 1882, Vila Novo São Lucas","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/seu-vizinho"
"UNIDOS DE SÃO VICENTE",10/02/2024,12:00,"RUA MONTE BRANCO, 69, Nova Suissa","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/unidos-de-sao-vicente-15784"
"BLOCO GAFIEIRA",10/02/2024,12:00,"AVENIDA BRASIL, 2201, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-gafieira"
"NADA SANTA",10/02/2024,12:00,"RUA MARMORE, 255, Santa Tereza","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/nada-santa"
"NÃO ERA AMOR ERA CILADA",10/02/2024,13:00,"RUA BELEM, 784, Pompéia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/nao-era-amor-era-cilada"
"BLOCO DO MAGRELA FEIO",10/02/2024,13:00,"RUA ITANHANDU, 44, Carlos Prates","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-magrela-feio-16019"
"BLOCO XIBIU",10/02/2024,13:00,"AVENIDA DOS ENGENHEIROS, 551, Alípio de Melo","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-xibiu"
"BLOCO DO VINTÃO",10/02/2024,13:00,"RUA JUDA, 383, Glória","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-vintao"
"UNIDOS DA ESTRELA DA MORTE",10/02/2024,13:00,"RUA MARECHAL DEODORO, 167, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/unidos-da-estrela-da-morte"
"BLOCO DO SAMBA DO RAFA",10/02/2024,13:30,"PRACA DUQUE DE CAXIAS, 288, Santa Tereza","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-samba-do-rafa"
"GALERA DE BELÔ",10/02/2024,13:30,"AVENIDA GENERAL OLIMPIO MOURAO FILHO, 370, Itapoã","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/galera-de-belo"
"BLOCO AXÉ NAS GERAIS",10/02/2024,13:30,"AVENIDA GUARAPARI, 1213, Santa Amélia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-axe-nas-gerais"
"DE SEU BENTO A DONA LÚCIA",10/02/2024,13:30,"AVENIDA HALLEY, 1015, Santa Lúcia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/de-seu-bento-a-dona-lucia"
"AMO BDI",10/02/2024,14:00,"AVENIDA CATULO DA PAIXAO CEARENSE, 145, Bairro das Indústrias I","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/amo-bdi"
"BEACH BLOCO",10/02/2024,14:00,"RUA JAVARI, 620, Renascença","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/beach-bloco"
"BLOCO DA CALIXTO",10/02/2024,14:00,"RUA PROFESSOR MORAES, 226, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-da-calixto"
"CABROBLOCO TIANASTÁCIA",10/02/2024,14:00,"RUA CONSELHEIRO ROCHA, 1031, Vila Dias","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/cabrobloco-tianastacia"
"BLOCO BAILE DA SAPATARIA",10/02/2024,14:00,"RUA FERNANDES TOURINHO, 503, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-baile-da-sapataria"
"UNIDOS BAIRRO SÃO PAULO",10/02/2024,14:00,"BECO QUELUZITA, 11, São Paulo","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/unidos-bairro-sao-paulo"
"BLOCO BURITIS DE GUIMARÃES ROSA",10/02/2024,14:00,"RUA HENRIQUE BADARO PORTUGAL, 157, Buritis","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-buritis-de-guimaraes-rosa-15846"
"FILHAS DE GABY E BANDA OS DESGARRADOS",10/02/2024,14:00,"RUA CEARA, 1461, Funcionários","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/filhas-de-gaby-e-banda-os-desgarrados"
"ME BEIJA QUE EU SOU PAGODEIRO",10/02/2024,14:00,"AVENIDA OLEGARIO MACIEL, 1412, Santo Agostinho","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/me-beija-que-eu-sou-pagodeiro-16266"
"HAJA AMOR",10/02/2024,14:00,"RUA SERGIPE, 811, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/haja-amor"
"MAIS FELIZ QUE PINTO NO LIXO",10/02/2024,14:30,"RUA CATANDUVA, 370, Renascença","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/mais-feliz-que-pinto-no-lixo-15974"
"GATO ESCALDADO",10/02/2024,15:00,"PRACA DEPUTADO RENATO AZEREDO, 182, Sion","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/gato-escaldado"
"BLOCO RASTAXÉ",10/02/2024,15:00,"PRACA SANTA RITA, 131, Esplanada","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-rastaxe-15589"
"BLOCO DE BELÔ",10/02/2024,15:00,"AVENIDA AFONSO PENA, 1377, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-de-belo"
